"source_folder","source_filename","figma_page","figma_section","figma_source_frame","figma_editable_frame","feature","screen","locale","state","screen_type","component_dependencies","prototype_flow","completion_status","notes"
"05-cart-wishlist","05-saved-for-later-items-list-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-saved-for-later-items-list-fr.png","","Cart & Wishlist","saved-for-later-items-list","French","Default","Screen reference","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-saved-for-later-items-list-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-wishlist-empty-state-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-wishlist-empty-state-fr.png","","Cart & Wishlist","wishlist-empty-state","French","Empty","Screen state","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-wishlist-empty-state-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-wishlist-items-grid-with-prices-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-wishlist-items-grid-with-prices-fr.png","","Cart & Wishlist","wishlist-items-grid-with-prices","French","Default","Screen reference","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-wishlist-items-grid-with-prices-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-wishlist-list-view-ar.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-wishlist-list-view-ar.png","","Cart & Wishlist","wishlist-list-view","Arabic","Default","Screen reference","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-wishlist-list-view-ar.png; dimensions: 941x1672"
"05-cart-wishlist","05-wishlist-move-to-cart-variant-sheet-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-wishlist-move-to-cart-variant-sheet-fr.png","","Cart & Wishlist","wishlist-move-to-cart-variant-sheet","French","Sheet","Overlay","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-wishlist-move-to-cart-variant-sheet-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-wishlist-out-of-stock-alternatives-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-wishlist-out-of-stock-alternatives-fr.png","","Cart & Wishlist","wishlist-out-of-stock-alternatives","French","Out Of Stock","Screen reference","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-wishlist-out-of-stock-alternatives-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-wishlist-price-change-notifications-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-wishlist-price-change-notifications-fr.png","","Cart & Wishlist","wishlist-price-change-notifications","French","Default","Screen reference","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-wishlist-price-change-notifications-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-wishlist-remove-confirmation-dialog-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-wishlist-remove-confirmation-dialog-fr.png","","Cart & Wishlist","wishlist-remove-confirmation-dialog","French","Confirmation","Dialog","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-wishlist-remove-confirmation-dialog-fr.png; dimensions: 941x1672"
"06-checkout","06-add-address-validation-errors-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-add-address-validation-errors-fr.png","","Checkout","add-address-validation-errors","French","Error","Screen state","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-add-address-validation-errors-fr.png; dimensions: 941x1672"
"06-checkout","06-add-new-address-form-ar.png","60 — Checkout","02 — Source Screenshots","SRC / 06-add-new-address-form-ar.png","","Checkout","add-new-address-form","Arabic","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-add-new-address-form-ar.png; dimensions: 941x1672"
"06-checkout","06-add-new-address-form-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-add-new-address-form-fr.png","","Checkout","add-new-address-form","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-add-new-address-form-fr.png; dimensions: 941x1672"
"06-checkout","06-add-new-address-form-v2-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-add-new-address-form-v2-fr.png","","Checkout","add-new-address-form-v2","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-add-new-address-form-v2-fr.png; dimensions: 941x1672"
"06-checkout","06-cash-on-delivery-confirmation-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-cash-on-delivery-confirmation-fr.png","","Checkout","cash-on-delivery-confirmation","French","Confirmation","Dialog","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-cash-on-delivery-confirmation-fr.png; dimensions: 941x1672"
"06-checkout","06-checkout-error-loading-state-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-checkout-error-loading-state-fr.png","","Checkout","checkout-error-loading-state","French","Loading","Screen state","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-checkout-error-loading-state-fr.png; dimensions: 941x1672"
"06-checkout","06-checkout-skeleton-loading-state.png","60 — Checkout","02 — Source Screenshots","SRC / 06-checkout-skeleton-loading-state.png","","Checkout","checkout-skeleton-loading-state","Shared","Loading","Screen state","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-checkout-skeleton-loading-state.png; dimensions: 941x1672"
"06-checkout","06-checkout-summary-4step-ar.png","60 — Checkout","02 — Source Screenshots","SRC / 06-checkout-summary-4step-ar.png","","Checkout","checkout-summary-4step","Arabic","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-checkout-summary-4step-ar.png; dimensions: 941x1672"
"06-checkout","06-checkout-summary-4step-overview-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-checkout-summary-4step-overview-fr.png","","Checkout","checkout-summary-4step-overview","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-checkout-summary-4step-overview-fr.png; dimensions: 941x1672"
"06-checkout","06-checkout-summary-4step-overview-v2-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-checkout-summary-4step-overview-v2-fr.png","","Checkout","checkout-summary-4step-overview-v2","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-checkout-summary-4step-overview-v2-fr.png; dimensions: 941x1672"
"06-checkout","06-checkout-summary-4step-v2-ar.png","60 — Checkout","02 — Source Screenshots","SRC / 06-checkout-summary-4step-v2-ar.png","","Checkout","checkout-summary-4step-v2","Arabic","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-checkout-summary-4step-v2-ar.png; dimensions: 941x1672"
"06-checkout","06-choose-address-saved-list-ar.png","60 — Checkout","02 — Source Screenshots","SRC / 06-choose-address-saved-list-ar.png","","Checkout","choose-address-saved-list","Arabic","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-choose-address-saved-list-ar.png; dimensions: 941x1672"
"06-checkout","06-choose-address-saved-list-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-choose-address-saved-list-fr.png","","Checkout","choose-address-saved-list","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-choose-address-saved-list-fr.png; dimensions: 941x1672"
"06-checkout","06-choose-address-saved-list-v2-ar.png","60 — Checkout","02 — Source Screenshots","SRC / 06-choose-address-saved-list-v2-ar.png","","Checkout","choose-address-saved-list-v2","Arabic","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-choose-address-saved-list-v2-ar.png; dimensions: 941x1672"
"06-checkout","06-choose-address-saved-list-v2-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-choose-address-saved-list-v2-fr.png","","Checkout","choose-address-saved-list-v2","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-choose-address-saved-list-v2-fr.png; dimensions: 941x1672"
"06-checkout","06-choose-delivery-standard-express-relay-ar.png","60 — Checkout","02 — Source Screenshots","SRC / 06-choose-delivery-standard-express-relay-ar.png","","Checkout","choose-delivery-standard-express-relay","Arabic","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-choose-delivery-standard-express-relay-ar.png; dimensions: 941x1672"
"06-checkout","06-choose-delivery-standard-express-relay-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-choose-delivery-standard-express-relay-fr.png","","Checkout","choose-delivery-standard-express-relay","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-choose-delivery-standard-express-relay-fr.png; dimensions: 941x1672"
"06-checkout","06-choose-delivery-standard-express-relay-v2-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-choose-delivery-standard-express-relay-v2-fr.png","","Checkout","choose-delivery-standard-express-relay-v2","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-choose-delivery-standard-express-relay-v2-fr.png; dimensions: 941x1672"
"06-checkout","06-choose-payment-cmi-cod-wallet-ar.png","60 — Checkout","02 — Source Screenshots","SRC / 06-choose-payment-cmi-cod-wallet-ar.png","","Checkout","choose-payment-cmi-cod-wallet","Arabic","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-choose-payment-cmi-cod-wallet-ar.png; dimensions: 941x1672"
"06-checkout","06-choose-payment-cmi-cod-wallet-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-choose-payment-cmi-cod-wallet-fr.png","","Checkout","choose-payment-cmi-cod-wallet","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-choose-payment-cmi-cod-wallet-fr.png; dimensions: 941x1672"
"06-checkout","06-choose-payment-cmi-cod-wallet-v2-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-choose-payment-cmi-cod-wallet-v2-fr.png","","Checkout","choose-payment-cmi-cod-wallet-v2","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-choose-payment-cmi-cod-wallet-v2-fr.png; dimensions: 941x1672"
"06-checkout","06-city-selector-list-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-city-selector-list-fr.png","","Checkout","city-selector-list","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-city-selector-list-fr.png; dimensions: 941x1672"
"06-checkout","06-delivery-by-vendor-multi-seller-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-delivery-by-vendor-multi-seller-fr.png","","Checkout","delivery-by-vendor-multi-seller","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-delivery-by-vendor-multi-seller-fr.png; dimensions: 941x1672"
"06-checkout","06-delivery-unavailable-address-error-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-delivery-unavailable-address-error-fr.png","","Checkout","delivery-unavailable-address-error","French","Error","Screen state","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-delivery-unavailable-address-error-fr.png; dimensions: 941x1672"
"06-checkout","06-delivery-zone-selector-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-delivery-zone-selector-fr.png","","Checkout","delivery-zone-selector","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-delivery-zone-selector-fr.png; dimensions: 941x1672"
"06-checkout","06-edit-address-form-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-edit-address-form-fr.png","","Checkout","edit-address-form","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-edit-address-form-fr.png; dimensions: 941x1672"
"06-checkout","06-no-address-saved-empty-state-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-no-address-saved-empty-state-fr.png","","Checkout","no-address-saved-empty-state","French","Empty","Screen state","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-no-address-saved-empty-state-fr.png; dimensions: 941x1672"
"06-checkout","06-no-address-saved-empty-state-v2-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-no-address-saved-empty-state-v2-fr.png","","Checkout","no-address-saved-empty-state-v2","French","Empty","Screen state","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-no-address-saved-empty-state-v2-fr.png; dimensions: 941x1672"
"06-checkout","06-order-already-in-progress-duplicate-check-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-order-already-in-progress-duplicate-check-fr.png","","Checkout","order-already-in-progress-duplicate-check","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-order-already-in-progress-duplicate-check-fr.png; dimensions: 941x1672"
"06-checkout","06-order-needs-update-price-stock-changes-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-order-needs-update-price-stock-changes-fr.png","","Checkout","order-needs-update-price-stock-changes","French","Update","Screen state","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-order-needs-update-price-stock-changes-fr.png; dimensions: 941x1672"
"06-checkout","06-order-processing-loading-state-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-order-processing-loading-state-fr.png","","Checkout","order-processing-loading-state","French","Loading","Screen state","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-order-processing-loading-state-fr.png; dimensions: 941x1672"
"06-checkout","06-order-review-confirm-ar.png","60 — Checkout","02 — Source Screenshots","SRC / 06-order-review-confirm-ar.png","","Checkout","order-review-confirm","Arabic","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-order-review-confirm-ar.png; dimensions: 941x1672"
"06-checkout","06-order-review-confirm-multi-vendor-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-order-review-confirm-multi-vendor-fr.png","","Checkout","order-review-confirm-multi-vendor","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-order-review-confirm-multi-vendor-fr.png; dimensions: 941x1672"
"06-checkout","06-order-review-confirm-multi-vendor-v2-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-order-review-confirm-multi-vendor-v2-fr.png","","Checkout","order-review-confirm-multi-vendor-v2","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-order-review-confirm-multi-vendor-v2-fr.png; dimensions: 941x1672"
"06-checkout","06-order-thank-you-confirmation-ar.png","60 — Checkout","02 — Source Screenshots","SRC / 06-order-thank-you-confirmation-ar.png","","Checkout","order-thank-you-confirmation","Arabic","Confirmation","Dialog","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-order-thank-you-confirmation-ar.png; dimensions: 941x1672"
"06-checkout","06-order-thank-you-confirmation-summary-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-order-thank-you-confirmation-summary-fr.png","","Checkout","order-thank-you-confirmation-summary","French","Confirmation","Dialog","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-order-thank-you-confirmation-summary-fr.png; dimensions: 941x1672"
"06-checkout","06-order-thank-you-confirmation-summary-v2-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-order-thank-you-confirmation-summary-v2-fr.png","","Checkout","order-thank-you-confirmation-summary-v2","French","Confirmation","Dialog","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-order-thank-you-confirmation-summary-v2-fr.png; dimensions: 941x1672"
"06-checkout","06-payment-cancelled-resume-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-payment-cancelled-resume-fr.png","","Checkout","payment-cancelled-resume","French","Cancelled","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-payment-cancelled-resume-fr.png; dimensions: 941x1672"
"06-checkout","06-payment-confirmation-taking-longer-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-payment-confirmation-taking-longer-fr.png","","Checkout","payment-confirmation-taking-longer","French","Confirmation","Dialog","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-payment-confirmation-taking-longer-fr.png; dimensions: 941x1672"
"06-checkout","06-payment-confirmed-success-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-payment-confirmed-success-fr.png","","Checkout","payment-confirmed-success","French","Success","Screen state","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-payment-confirmed-success-fr.png; dimensions: 941x1672"
"06-checkout","06-payment-confirmed-success-v2-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-payment-confirmed-success-v2-fr.png","","Checkout","payment-confirmed-success-v2","French","Success","Screen state","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-payment-confirmed-success-v2-fr.png; dimensions: 941x1672"
"06-checkout","06-payment-failed-retry-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-payment-failed-retry-fr.png","","Checkout","payment-failed-retry","French","Failed","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-payment-failed-retry-fr.png; dimensions: 941x1672"
"06-checkout","06-payment-pending-confirmation-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-payment-pending-confirmation-fr.png","","Checkout","payment-pending-confirmation","French","Confirmation","Dialog","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-payment-pending-confirmation-fr.png; dimensions: 941x1672"
"06-checkout","06-payment-step-intro-step3-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-payment-step-intro-step3-fr.png","","Checkout","payment-step-intro-step3","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-payment-step-intro-step3-fr.png; dimensions: 941x1672"
"06-checkout","06-payment-step-intro-step3-v2-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-payment-step-intro-step3-v2-fr.png","","Checkout","payment-step-intro-step3-v2","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-payment-step-intro-step3-v2-fr.png; dimensions: 941x1672"
"06-checkout","06-payment-verification-processing-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-payment-verification-processing-fr.png","","Checkout","payment-verification-processing","French","Processing","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-payment-verification-processing-fr.png; dimensions: 941x1672"
"06-checkout","06-pay-with-wallet-balance-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-pay-with-wallet-balance-fr.png","","Checkout","pay-with-wallet-balance","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-pay-with-wallet-balance-fr.png; dimensions: 941x1672"
"06-checkout","06-saved-payment-cards-visa-mastercard-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-saved-payment-cards-visa-mastercard-fr.png","","Checkout","saved-payment-cards-visa-mastercard","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-saved-payment-cards-visa-mastercard-fr.png; dimensions: 941x1672"
"06-checkout","06-secure-payment-redirect-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-secure-payment-redirect-fr.png","","Checkout","secure-payment-redirect","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-secure-payment-redirect-fr.png; dimensions: 941x1672"
"06-checkout","06-secure-payment-redirect-loading-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-secure-payment-redirect-loading-fr.png","","Checkout","secure-payment-redirect-loading","French","Loading","Screen state","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-secure-payment-redirect-loading-fr.png; dimensions: 941x1672"
"06-checkout","06-secure-payment-redirect-v2-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-secure-payment-redirect-v2-fr.png","","Checkout","secure-payment-redirect-v2","French","Default","Screen reference","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-secure-payment-redirect-v2-fr.png; dimensions: 941x1672"
"06-checkout","06-terms-conditions-confirmation-fr.png","60 — Checkout","02 — Source Screenshots","SRC / 06-terms-conditions-confirmation-fr.png","","Checkout","terms-conditions-confirmation","French","Confirmation","Dialog","TBD after editable reconstruction","Checkout","Inventory complete — Figma import blocked by MCP plan limit","Source path: 06-checkout/06-terms-conditions-confirmation-fr.png; dimensions: 941x1672"
"07-orders","07-cancellation-request-registered-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-cancellation-request-registered-fr.png","","Orders","cancellation-request-registered","French","Default","Screen reference","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-cancellation-request-registered-fr.png; dimensions: 941x1672"
"07-orders","07-cancel-order-confirmation-dialog-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-cancel-order-confirmation-dialog-fr.png","","Orders","cancel-order-confirmation-dialog","French","Confirmation","Dialog","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-cancel-order-confirmation-dialog-fr.png; dimensions: 941x1672"
"07-orders","07-cancel-order-reason-form-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-cancel-order-reason-form-fr.png","","Orders","cancel-order-reason-form","French","Default","Screen reference","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-cancel-order-reason-form-fr.png; dimensions: 941x1672"
"07-orders","07-delivery-delayed-notification-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-delivery-delayed-notification-fr.png","","Orders","delivery-delayed-notification","French","Default","Screen reference","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-delivery-delayed-notification-fr.png; dimensions: 941x1672"
"07-orders","07-delivery-failed-reschedule-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-delivery-failed-reschedule-fr.png","","Orders","delivery-failed-reschedule","French","Failed","Screen reference","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-delivery-failed-reschedule-fr.png; dimensions: 941x1672"
"07-orders","07-invoice-detail-download-share-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-invoice-detail-download-share-fr.png","","Orders","invoice-detail-download-share","French","Default","Screen reference","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-invoice-detail-download-share-fr.png; dimensions: 941x1672"
"07-orders","07-multiple-packages-split-shipment-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-multiple-packages-split-shipment-fr.png","","Orders","multiple-packages-split-shipment","French","Default","Screen reference","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-multiple-packages-split-shipment-fr.png; dimensions: 941x1672"
"07-orders","07-order-cannot-be-cancelled-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-order-cannot-be-cancelled-fr.png","","Orders","order-cannot-be-cancelled","French","Cancelled","Screen reference","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-order-cannot-be-cancelled-fr.png; dimensions: 941x1672"
"07-orders","07-order-detail-ar.png","70 — Orders","02 — Source Screenshots","SRC / 07-order-detail-ar.png","","Orders","order-detail","Arabic","Default","Screen reference","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-order-detail-ar.png; dimensions: 941x1672"
"07-orders","07-order-detail-delivered-actions-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-order-detail-delivered-actions-fr.png","","Orders","order-detail-delivered-actions","French","Default","Screen reference","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-order-detail-delivered-actions-fr.png; dimensions: 941x1672"
"07-orders","07-order-detail-in-preparation-timeline-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-order-detail-in-preparation-timeline-fr.png","","Orders","order-detail-in-preparation-timeline","French","Default","Screen reference","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-order-detail-in-preparation-timeline-fr.png; dimensions: 941x1672"
"07-orders","07-order-detail-multi-vendor-packages-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-order-detail-multi-vendor-packages-fr.png","","Orders","order-detail-multi-vendor-packages","French","Default","Screen reference","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-order-detail-multi-vendor-packages-fr.png; dimensions: 941x1672"
"07-orders","07-order-detail-shipped-tracking-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-order-detail-shipped-tracking-fr.png","","Orders","order-detail-shipped-tracking","French","Default","Screen reference","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-order-detail-shipped-tracking-fr.png; dimensions: 941x1672"
"07-orders","07-order-detail-skeleton-loading-state.png","70 — Orders","02 — Source Screenshots","SRC / 07-order-detail-skeleton-loading-state.png","","Orders","order-detail-skeleton-loading-state","Shared","Loading","Screen state","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-order-detail-skeleton-loading-state.png; dimensions: 941x1672"
"07-orders","07-order-not-found-error-fr.png","70 — Orders","02 — Source Screenshots","SRC / 07-order-not-found-error-fr.png","","Orders","order-not-found-error","French","Error","Screen state","TBD after editable reconstruction","Orders","Inventory complete — Figma import blocked by MCP plan limit","Source path: 07-orders/07-order-not-found-error-fr.png; dimensions: 941x1672"
